#;NAME;Gl;Gb;RAJD;DECJD;P0;
405;J0831-4406;262.285;-2.694;127.88512500;-44.10330556;0.311674;
406;J0834-4159;260.886;-1.036;128.57419583;-41.99333056;0.121118;
407;J0834-60;276.075;-11.924;128.70833333;-60.58333333;0.384645;
408;J0835-3707;257.076;1.990;128.76283333;-37.13097222;0.541404;
409;B0833-45;263.552;-2.787;128.83588121;-45.17635419;0.089328;
410;J0836-4233;261.537;-1.107;129.02437500;-42.55691667;0.738436;
411;B0834+06;219.721;26.272;129.27350833;6.17071111;1.273768;
412;J0837-2454;247.575;9.775;129.49054167;-24.90833333;0.629410;
413;B0835-41;260.904;-0.336;129.33830958;-41.58737861;0.751625;
414;J0838-2621;248.807;8.981;129.57833750;-26.35820833;0.308581;
415;J0838-3947;259.606;0.928;129.62833333;-39.78944444;1.703946;
416;J0839-66;281.441;-14.927;129.90416667;-66.58111111;0.449339;
417;B0839-53;270.774;-7.143;130.14052500;-53.54331944;0.720614;
418;B0840-48;267.182;-4.101;130.52268458;-48.85572222;0.644354;
419;J0843+0719;219.400;28.223;130.89091667;7.31327778;1.365860;
420;J0843-5022;268.496;-4.898;130.79118333;-50.37863889;0.208956;
421;J0843+67;147.800;35.600;130.84500000;67.21888889;0.002846;
422;B0844-35;257.190;4.710;131.52516667;-35.56144444;1.116098;
423;J0847-4316;263.444;0.158;131.98887500;-43.28244444;5.977493;
424;J0848+16;210.060;33.305;132.22083333;16.71666667;0.452400;
425;J0849-6322;279.433;-12.171;132.42745833;-63.37638889;0.367953;
426;B0841+80;132.654;31.462;132.25628211;80.48308960;1.602228;
427;J0854+5449;162.782;39.408;133.60718958;54.82466167;1.233033;
428;B0853-33;256.847;7.517;133.91005628;-33.52758448;1.267536;
429;J0855-4644;266.967;-1.004;133.90075000;-46.73705556;0.064686;
430;J0855-4658;267.116;-1.193;133.83154167;-46.97294444;0.575072;
431;B0855-61;278.575;-10.427;134.24695833;-61.63130833;0.962511;
432;J0857+3349;190.141;39.736;134.27945833;33.82138889;0.242961;
433;J0857-4424;265.457;0.822;134.48263333;-44.40295833;0.326786;
434;J0900-3144;256.162;9.486;135.18313787;-31.74191533;0.011110;
435;J0901-4624;267.404;-0.004;135.41716667;-46.41347222;0.441995;
436;B0901-63;280.390;-11.082;135.63500000;-63.42000000;0.660313;
437;B0903-42;265.074;2.859;136.24617917;-42.77038889;0.965173;
438;B0904-74;289.738;-18.320;136.04362500;-74.99491667;0.549554;
439;J0905-4536;267.239;1.011;136.34958333;-45.61472222;0.988281;
440;J0905-5127;271.633;-2.854;136.46650000;-51.46501389;0.346301;
441;J0905-6019;278.222;-8.816;136.31352083;-60.32279444;0.340854;
442;B0905-51;272.151;-3.031;136.81625417;-51.96648889;0.253558;
443;B0906-17;246.119;19.850;137.15909250;-17.66046389;0.401626;
444;B0906-49;270.265;-1.019;137.14775000;-49.21805556;0.106769;
445;B0909-71;287.728;-16.256;137.39920833;-72.20248333;1.362890;
446;B0904+77;135.325;33.704;137.50000000;77.46666667;1.579050;
447;J0912-3851;263.165;6.584;138.17791667;-38.85083333;1.526085;
448;J0919-42;266.285;5.274;139.75000000;-42.00000000;0.812600;
449;J0919-6040;279.687;-7.774;139.86612500;-60.68066667;1.216976;
450;J0921-5202;273.776;-1.447;140.49949375;-52.04401944;0.009680;
451;B0917+63;151.431;40.725;140.30889747;62.90386409;1.567994;
452;B0919+06;225.420;36.392;140.55842500;6.63980556;0.430627;
453;J0922-4949;272.237;0.160;140.56233750;-49.82002222;0.950289;
454;J0923-31;259.697;13.003;140.99166667;-31.95000000;*;
455;B0922-52;274.712;-1.930;141.03634167;-53.04516667;0.746338;
456;B0923-58;278.394;-5.595;141.12841667;-58.23475000;0.739505;
457;J0925+6103;153.506;41.833;141.32310458;61.05114000;0.005983;
458;J0927+2345;205.286;44.202;141.93858333;23.75297222;0.761889;
459;J0928+06;226.854;37.601;142.18333333;6.23333333;2.060400;
460;J0928+30;195.838;45.915;142.25000000;30.63333333;2.091500;
461;J0930-1854;250.760;23.019;142.64695833;-18.90863889;*;
462;J0930-2301;253.932;20.138;142.51175000;-23.02916667;1.807069;
463;J0931-1902;250.999;23.054;142.82965478;-19.04861884;0.004638;
464;J0932-3217;261.277;14.069;143.16312500;-32.28727778;1.931627;
465;J0932-5327;275.885;-1.375;143.09525000;-53.45305556;4.392159;
466;J0934-4154;268.361;7.411;143.74250000;-41.90541667;0.570409;
467;B0932-52;275.690;-0.700;143.61765417;-52.82425000;1.444777;
468;J0935+33;192.376;47.511;143.77500000;33.18333333;0.961500;
469;J0940-5428;277.510;-1.292;145.24258333;-54.47794444;0.087545;
470;J0941-39;267.795;9.904;145.40833333;-39.68333333;0.586778;
471;J0941-5244;276.446;0.092;145.42144583;-52.73457778;0.658558;
472;B0940-55;278.569;-2.232;145.56200000;-55.88197222;0.664389;
473;B0941-56;279.345;-2.990;145.72676667;-56.96200278;0.808164;
474;B0940+16;216.609;45.380;145.87541667;16.52694444;1.087418;
475;J0943+2253;207.887;47.458;145.88498958;22.88490556;0.532975;
476;J0943-5305;276.842;-0.033;145.78333333;-53.08805556;1.734000;
477;B0942-13;249.129;28.843;146.12064958;-13.91156389;0.570264;
478;J0944+4106;180.437;49.375;146.07557733;41.10126386;2.229431;
479;J0945-4833;274.199;3.674;146.40939167;-48.55402778;0.331586;
480;B0943+10;225.413;43.126;146.53166667;9.86527778;1.097706;
481;J0947+2740;201.142;49.384;146.83869583;27.67875000;0.851014;
482;J0949-6902;287.826;-11.702;147.33569583;-69.04488889;0.640016;
483;J0951-71;289.469;-13.321;147.85000000;-71.31694444;0.212378;
484;J0952-0607;243.652;35.380;148.03467254;-6.12319167;0.001414;
485;B0950-38;268.702;12.033;148.07166667;-38.65283333;1.373815;
486;B0950+08;228.908;43.697;148.28879042;7.92659722;0.253065;
487;J0954-5430;278.998;-0.101;148.52519167;-54.51467222;0.472851;
488;B0953-52;278.264;1.159;148.87275417;-53.07128889;0.862122;
489;J0955-6150;283.685;-5.737;148.83666667;-61.83777778;0.001999;
490;J0957-06;244.762;36.201;149.25000000;-6.28333333;1.723700;
491;J0957-5432;279.448;0.227;149.48337500;-54.53441667;0.203557;
492;B0957-47;275.742;5.418;149.85921667;-48.16318611;0.670086;
493;J1000+08;229.732;45.498;150.15833333;8.33277778;0.440372;
494;J1000-5149;278.107;2.603;150.11725417;-51.83281111;0.255677;
495;B0959-54;280.226;0.084;150.40770833;-55.11883333;1.436631;
496;J1001-5559;280.691;-0.648;150.28583333;-55.98338889;1.661177;
497;J1001-5939;282.945;-3.548;150.38429167;-59.65494444;7.733640;
498;J1002-5559;280.901;-0.503;150.74125000;-55.99361111;0.777501;
499;J1002-5919;282.829;-3.224;150.58541667;-59.32700000;0.713489;
500;B1001-47;276.037;6.117;150.83970417;-47.78366389;0.307074;
501;J1005+30;197.937;53.673;151.37500000;30.25000000;*;
502;J1006-6311;285.550;-6.029;151.65250000;-63.19477778;0.835797;
503;J1010+15;221.258;50.980;152.50000000;15.85000000;*;
504;B1010-23;262.131;26.377;153.14052652;-23.63956138;2.517945;
505;J1012-4235;274.218;11.225;153.05392083;-42.59817778;0.003101;
506;J1012+5307;160.347;50.858;153.13932687;53.11729541;0.005256;
507;J1012-5830;283.459;-1.762;153.22875000;-58.50711111;2.133591;
508;B1011-58;283.707;-2.146;153.20195833;-58.96347222;0.819926;
509;J1013-5934;284.130;-2.596;153.38270000;-59.57406389;0.442901;
510;J1014-48;278.136;6.330;153.57500000;-48.82833333;1.508800;
511;J1015-5719;283.088;-0.578;153.90816667;-57.32022222;0.139882;
512;B1014-53;281.201;2.450;154.12972917;-53.75396111;0.769586;
513;J1016-5819;283.708;-1.363;154.05029583;-58.31696389;0.087834;
514;J1016-5857;284.079;-1.880;154.08816667;-58.95336111;0.107386;
515;J1017+3011;198.432;56.273;154.40120833;30.19613889;0.452785;
516;B1015-56;282.732;0.341;154.30346250;-56.35847778;0.503463;
517;J1017-7156;291.558;-12.553;154.46383654;-71.94489308;0.002339;
518;J1018-1523;256.775;33.785;154.50000000;-15.00000000;0.083100;
519;B1016-16;258.261;32.610;154.66818997;-16.70281630;1.804695;
520;J1019-5749;283.837;-0.679;154.96725000;-57.81830556;0.162506;
521;J1020-5921;284.719;-1.944;155.05845833;-59.35944444;1.238305;
522;J1020-6026;285.302;-2.848;155.04754167;-60.43508333;0.140481;
523;J1021-5601;283.041;0.935;155.35341667;-56.03080556;0.670026;
524;J1022+1001;231.795;51.101;155.74164348;10.03129866;0.016453;
525;J1022-5813;284.347;-0.834;155.61708333;-58.22500000;1.643726;
526;J1023+0038;243.490;45.782;155.94869667;0.64467931;0.001688;
527;J1023-5746;284.166;-0.407;155.76208333;-57.76805556;0.111472;
528;J1024-0719;251.702;40.515;156.16113071;-7.32208671;0.005162;
529;J1028-5819;285.065;-0.496;157.11666667;-58.31811111;0.091403;
530;J1031-6117;286.880;-2.881;157.75933333;-61.29738889;0.306411;
531;J1032-5206;282.354;5.128;158.11537500;-52.10236111;2.407622;
532;B1030-58;285.920;-1.010;158.02031667;-59.19855556;0.464213;
